Hour/year,Month,Hour/day,Day/month,Day/week,Air temp.,Wind speed,Solar alt,Solar azim,I_GvT_N,I_Gvd_N,I_Gvdif_N,I_GvT_E,I_Gvd_E,I_Gvdif_E,I_GvT_S,I_Gvd_S,I_Gvdif_S,I_GvT_W,I_Gvd_W,I_Gvdif_W,I_GhT,I_GhD,I_GhDif
8017,12,1,1,6,13.03,6.22,0,29.4911291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8018,12,2,1,6,13.1,6.49,0,57.8936357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8019,12,3,1,6,13.16,6.76,0,74.5837904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8020,12,4,1,6,13.23,7.03,0,86.18334876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8021,12,5,1,6,13.3,7.31,0,95.68163599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,12,6,1,6,13.37,7.58,0,104.4597439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8023,12,7,1,6,13.44,7.85,0,113.3150347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8024,12,8,1,6,13.5,8.13,0,122.8360392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8025,12,9,1,6,13.57,8.4,0,133.5311693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8026,12,10,1,6,13.97,7.79,5.846987584,145.8137832,11.99075646,0,11.99075646,103.2903073,91.29955084,11.99075646,82.34585161,70.35509515,11.99075646,11.99075646,0,11.99075646,21.12353511,11.80344801,9.320087096
8027,12,11,1,6,14.2,7.72,13.76651744,159.8372002,11.86032474,0,11.86032474,11.86032474,0,11.86032474,11.86032474,0,11.86032474,11.86032474,0,11.86032474,23,0,23
8028,12,12,1,6,14.65,7.79,19.90487506,175.2251221,68.36606293,0,68.36606293,116.6492683,48.28320537,68.36606293,160.3788441,92.01278117,68.36606293,68.36606293,0,68.36606293,144.0692912,37.625473,106.4438182
8029,12,13,1,6,15.1,8.41,23.72631788,190.9835475,31.33025574,0,31.33025574,31.33025574,0,31.33025574,31.33025574,0,31.33025574,31.33025574,0,31.33025574,60,0,60
8030,12,14,1,6,15.08,8.83,24.8013359,205.9185955,24.47241853,0,24.47241853,24.47241853,0,24.47241853,24.47241853,0,24.47241853,24.47241853,0,24.47241853,47,0,47
8031,12,15,1,6,14.97,8.48,22.99237602,219.2617891,24.98635005,0,24.98635005,24.98635005,0,24.98635005,24.98635005,0,24.98635005,24.98635005,0,24.98635005,48,0,48
8032,12,16,1,6,14.53,7.1,18.52639999,230.8770061,22.86375216,0,22.86375216,22.86375216,0,22.86375216,22.86375216,0,22.86375216,22.86375216,0,22.86375216,44,0,44
8033,12,17,1,6,14.06,6.62,11.87854954,241.0501768,24.45424862,0,24.45424862,24.45424862,0,24.45424862,24.89420083,0.43995221,24.45424862,24.87724682,0.4229982,24.45424862,47,0.1283751,46.8716249
8034,12,18,1,6,13.51,5.79,3.584668784,250.2432337,3.581290394,0,3.581290394,3.581290394,0,3.581290394,3.581290394,0,3.581290394,3.581290394,0,3.581290394,7,0,7
8035,12,19,1,6,13.29,5.03,0,258.9905304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8036,12,20,1,6,13.22,4,0,267.9385546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,12,21,1,6,12.87,4.34,0,278.0489038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8038,12,22,1,6,12.46,3.86,0,291.1564167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8039,12,23,1,6,12.19,3.17,0,311.4510521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8040,12,24,1,6,11.94,2.9,0,346.5465069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8041,12,1,2,7,11.79,2.9,0,29.0636129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8042,12,2,2,7,11.58,3.24,0,57.7764113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8043,12,3,2,7,11.11,3.45,0,74.5596518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8044,12,4,2,7,10.83,3.38,0,86.1808418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8045,12,5,2,7,10.73,3.38,0,95.67822425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,12,6,2,7,10.51,3.66,0,104.4457245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8047,12,7,2,7,10.35,3.38,0,113.2834011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8048,12,8,2,7,10.3,2.97,0,122.7790297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8049,12,9,2,7,10.34,3.59,0,133.4390028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,12,10,2,7,10.09,3.45,5.586923396,145.6754014,14.29054727,0,14.29054727,231.1304368,216.8398895,14.29054727,180.8818365,166.5912892,14.29054727,14.29054727,0,14.29054727,36.84063407,26.74851467,10.0921194
8051,12,11,2,7,10.44,2.97,13.51972422,159.6445186,16.03959805,0,16.03959805,16.03959805,0,16.03959805,16.03959805,0,16.03959805,16.03959805,0,16.03959805,31,0,31
8052,12,12,2,7,11.12,2.55,19.6804676,174.9806054,21.2879081,0,21.2879081,21.2879081,0,21.2879081,21.2879081,0,21.2879081,21.2879081,0,21.2879081,41,0,41
8053,12,13,2,7,11.63,1.93,23.5356416,190.7039779,99.11315963,0,99.11315963,159.6319536,60.51879397,99.11315963,351.7153304,252.6021708,99.11315963,99.11315963,0,99.11315963,246.2949468,113.1349632,133.1599836
8054,12,14,2,7,11.98,1.72,24.65499107,205.6270738,93.61358115,0,93.61358115,93.61358115,0,93.61358115,849.0876237,755.4740426,93.61358115,116.2866714,22.67309025,93.61358115,410.3249834,346.9166098,63.40837357
8055,12,15,2,7,12.29,1.79,22.89604412,218.9752416,102.3390508,0,102.3390508,102.3390508,0,102.3390508,721.7682289,619.4291781,102.3390508,289.3676878,187.028637,102.3390508,365.0036621,273.2714921,91.73217001
8056,12,16,2,7,12.4,2,18.47888797,230.6015523,91.40564187,0,91.40564187,91.40564187,0,91.40564187,443.3886061,351.9829642,91.40564187,302.1085808,210.7029389,91.40564187,249.6016318,137.0926028,112.509029
8057,12,17,2,7,12.3,2.41,11.87350472,240.7835889,55.6833543,0,55.6833543,55.6833543,0,55.6833543,560.1206341,504.4372798,55.6833543,535.9762471,480.2928928,55.6833543,194.2943505,146.4431399,47.8512106
8058,12,18,2,7,12,3.03,3.613639031,249.9781657,23.05435215,0,23.05435215,23.05435215,0,23.05435215,310.598927,287.5445749,23.05435215,432.1373878,409.0830357,23.05435215,59.82795505,31.57877541,28.24917964
8059,12,19,2,7,11.35,2.83,0,258.715632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,12,20,2,7,10.53,3.38,0,267.6368882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8061,12,21,2,7,10.18,4.14,0,277.6924994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8062,12,22,2,7,10.11,4.83,0,290.693685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8063,12,23,2,7,10.28,5.52,0,310.7940679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8064,12,24,2,7,10.53,6.55,0,345.7429223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8065,12,1,3,1,10.61,7.24,0,28.9536493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8066,12,2,3,1,11.25,7.86,0,57.8355485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8067,12,3,3,1,11.72,8.41,0,74.6457327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8068,12,4,3,1,11.85,8.69,0,86.26152884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,12,5,3,1,12.28,8.83,0,95.74764671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8070,12,6,3,1,12.82,8.97,0,104.5027187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8071,12,7,3,1,13.1,9.79,0,113.3266334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
