Hour/year,Month,Hour/day,Day/month,Day/week,Air temp.,Wind speed,Solar alt,Solar azim,I_GvT_N,I_Gvd_N,I_Gvdif_N,I_GvT_E,I_Gvd_E,I_Gvdif_E,I_GvT_S,I_Gvd_S,I_Gvdif_S,I_GvT_W,I_Gvd_W,I_Gvdif_W,I_GhT,I_GhD,I_GhDif,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
8017,12,1,1,6,2.35,2.7,0.0,336.6461875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8018,12,2,1,6,2.1,2.75,0.0,18.805487999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8019,12,3,1,6,1.84,2.81,0.0,51.04934549999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8020,12,4,1,6,1.59,2.87,0.0,70.1310083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8021,12,5,1,6,1.33,2.93,0.0,82.89098366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8022,12,6,1,6,1.07,2.98,0.0,92.9617303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8023,12,7,1,6,0.82,3.04,0.0,102.00035792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8024,12,8,1,6,0.56,3.1,0.0,110.91167605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8025,12,9,1,6,0.66,2.76,1.134956079,120.32220516000001,10.47879583,0.0,10.47879583,525.1505805,514.6717846,10.47879583,311.4963374,301.0175416,10.47879583,10.47879583,0.0,10.47879583,41.60281171,11.81223784,29.79057387,,,,,,,,,,,,,,,,,,,,,,
8026,12,10,1,6,2.63,2.34,10.42726834,130.75312854,52.59179583,0.0,52.59179583,665.559456,612.9676601,52.59179583,580.8168453,528.2250495,52.59179583,52.59179583,0.0,52.59179583,193.675357,148.9080222,44.76733483,,,,,,,,,,,,,,,,,,,,,,
8027,12,11,1,6,4.97,3.38,18.26549879,142.64078122,75.7770218,0.0,75.7770218,596.909661,521.1326392,75.7770218,758.3966297,682.6196079,75.7770218,75.7770218,0.0,75.7770218,333.0073507,283.4495373,49.55781342,,,,,,,,,,,,,,,,,,,,,,
8028,12,12,1,6,6.78,3.52,24.08444965,156.21589652,90.86478411,0.0,90.86478411,431.3208741,340.45609,90.86478411,863.3624751,772.4976909,90.86478411,90.86478411,0.0,90.86478411,431.8658175,377.3511681,54.51464945,,,,,,,,,,,,,,,,,,,,,,
8029,12,13,1,6,8.34,3.59,27.29178771,171.259816893,93.234546,0.0,93.234546,222.5089787,129.2744327,93.234546,934.1022214,840.8676754,93.234546,93.234546,0.0,93.234546,487.1385006,438.9488182,48.18968236,,,,,,,,,,,,,,,,,,,,,,
8030,12,14,1,6,9.47,3.66,27.471141,186.946643495,90.46795513,0.0,90.46795513,90.46795513,0.0,90.46795513,925.9317984,835.4638433,90.46795513,192.2603539,101.7923988,90.46795513,482.3612503,437.5925174,44.76873289,,,,,,,,,,,,,,,,,,,,,,
8031,12,15,1,6,10.0,3.79,24.59692961,202.11743269,81.53197761,0.0,81.53197761,81.53197761,0.0,81.53197761,831.1752392,749.6432616,81.53197761,386.1962655,304.6642879,81.53197761,412.9377526,370.4227767,42.51497592,,,,,,,,,,,,,,,,,,,,,,
8032,12,16,1,6,9.97,3.66,19.04947366,215.88385601,61.20925653,0.0,61.20925653,61.20925653,0.0,61.20925653,683.646486,622.4372295,61.20925653,511.5114409,450.3021843,61.20925653,297.2239157,265.2701513,31.95376443,,,,,,,,,,,,,,,,,,,,,,
8033,12,17,1,6,9.1,2.76,11.41312839,227.95999527,11.86254651,0.0,11.86254651,11.86254651,0.0,11.86254651,11.86254651,0.0,11.86254651,11.86254651,0.0,11.86254651,23.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,
8034,12,18,1,6,7.19,2.41,2.262725362,238.53857989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8035,12,19,1,6,5.55,2.41,0.0,248.04128736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8036,12,20,1,6,4.95,2.69,0.0,256.98101016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8037,12,21,1,6,4.03,2.55,0.0,265.96677305000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8038,12,22,1,6,2.87,2.28,0.0,275.85548838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8039,12,23,1,6,1.97,2.07,0.0,288.17542149999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8040,12,24,1,6,1.15,1.93,0.0,306.2330001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8041,12,1,2,7,0.52,1.86,0.0,335.8689685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8042,12,2,2,7,-0.04,1.72,0.0,18.264146899999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8043,12,3,2,7,-0.81,1.52,0.0,50.8716613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8044,12,4,2,7,-1.41,1.38,0.0,70.0851252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8045,12,5,2,7,-1.63,1.31,0.0,82.88025063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8046,12,6,2,7,-1.88,1.31,0.0,92.95541134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8047,12,7,2,7,-1.86,1.17,0.0,101.98625696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
