Hour/year,Month,Hour/day,Day/month,Day/week,Air temp.,Wind speed,Solar alt,Solar azim,I_GvT_N,I_Gvd_N,I_Gvdif_N,I_GvT_E,I_Gvd_E,I_Gvdif_E,I_GvT_S,I_Gvd_S,I_Gvdif_S,I_GvT_W,I_Gvd_W,I_Gvdif_W,I_GhT,I_GhD,I_GhDif,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
8017,12,1,1,6,8.13,3.07,0.0,327.4840663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8018,12,2,1,6,8.72,3.33,0.0,4.443548200000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8019,12,3,1,6,9.31,3.58,0.0,39.29355799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8020,12,4,1,6,9.9,3.84,0.0,62.0463266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8021,12,5,1,6,10.49,4.09,0.0,77.0382493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8022,12,6,1,6,11.08,4.35,0.0,88.39600818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8023,12,7,1,6,11.67,4.6,0.0,98.18527152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8024,12,8,1,6,12.26,4.86,0.0,107.50138756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8025,12,9,1,6,10.78,4.83,0.0,117.0466241,5.869468648,0.0,5.869468648,15.34784334,9.478374687,5.869468648,10.70866119,4.839192539,5.869468648,5.869468648,0.0,5.869468648,12,0,12,,,,,,,,,,,,,,,,,
8026,12,10,1,6,10.98,5.03,6.280236029,127.36284574,36.50402479,0.0,36.50402479,185.5815028,149.077478,36.50402479,150.3292585,113.8252337,36.50402479,36.50402479,0.0,36.50402479,82,5,77,,,,,,,,,,,,,,,,,
8027,12,11,1,6,11.4,4.76,14.36256783,138.89518912,33.92196601,0.0,33.92196601,37.50805796,3.586091952,33.92196601,38.03208368,4.110117671,33.92196601,33.92196601,0.0,33.92196601,66,0,66,,,,,,,,,,,,,,,,,
8028,12,12,1,6,11.9,5.66,20.65498143,151.92750706,71.33483387,0.0,71.33483387,90.65110587,19.31627201,71.33483387,107.5528347,36.21800088,71.33483387,71.33483387,0.0,71.33483387,148,3,145,,,,,,,,,,,,,,,,,
8029,12,13,1,6,11.96,5.79,24.60156084,166.40108908,37.17573238,0.0,37.17573238,37.17573238,0.0,37.17573238,37.17573238,0.0,37.17573238,37.17573238,0.0,37.17573238,71,0,71,,,,,,,,,,,,,,,,,
8030,12,14,1,6,12.21,6.21,25.74855976,181.739918247,34.52399982,0.0,34.52399982,34.52399982,0.0,34.52399982,34.52399982,0.0,34.52399982,34.52399982,0.0,34.52399982,66,0,66,,,,,,,,,,,,,,,,,
8031,12,15,1,6,12.38,6.0,23.94479551,196.96086941,60.586497,0.0,60.586497,60.586497,0.0,60.586497,73.98360966,13.39711266,60.586497,64.67240258,4.085905578,60.586497,120,1,119,,,,,,,,,,,,,,,,,
8032,12,16,1,6,12.58,7.72,19.42381916,211.14066345,64.49482203,0.0,64.49482203,64.49482203,0.0,64.49482203,212.032672,147.53785,64.49482203,153.638217,89.14339495,64.49482203,141,25,116,,,,,,,,,,,,,,,,,
8033,12,17,1,6,12.43,7.38,12.68019608,223.82475749,35.13850967,0.0,35.13850967,35.13850967,0.0,35.13850967,211.0298209,175.8913112,35.13850967,203.9581689,168.8196592,35.13850967,70,21,49,,,,,,,,,,,,,,,,,
8034,12,18,1,6,12.69,8.07,4.26832135,235.05074815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8035,12,19,1,6,12.72,8.69,0.0,245.15107755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8036,12,20,1,6,12.63,8.07,0.0,254.59371456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8037,12,21,1,6,11.81,6.28,0.0,263.94632652999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8038,12,22,1,6,10.73,5.17,0.0,273.97117411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8039,12,23,1,6,10.28,5.52,0.0,285.9134289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8040,12,24,1,6,8.86,5.93,0.0,302.1969001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8041,12,1,2,7,8.38,4.55,0.0,326.8040096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8042,12,2,2,7,8.6,4.28,0.0,3.8244033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8043,12,3,2,7,8.23,4.07,0.0,39.007825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8044,12,4,2,7,7.74,3.1,0.0,61.947043199999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8045,12,5,2,7,7.67,2.97,0.0,77.0015302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8046,12,6,2,7,7.54,2.55,0.0,88.37568199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8047,12,7,2,7,7.21,2.0,0.0,98.16327884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
8048,12,8,2,7,6.42,1.45,0.0,107.46813064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,
